modele,accuracy,precision,recall,f1,roc_auc,train_time_sec,predict_time_sec
RandomForest,0.9909297052154195,1.0,0.9436619718309859,0.9710144927536232,0.9958412637990103,0.7894687000080012,0.026125499993213452
DecisionTree,0.9897959183673469,0.965034965034965,0.971830985915493,0.968421052631579,0.982537114579368,0.02892240000073798,0.0038613000069744885
SVM,0.8900226757369615,0.9090909090909091,0.352112676056338,0.5076142131979695,0.9100114198705749,0.8108737000002293,0.0650786999904085
NaiveBayes,0.81859410430839,0.4338235294117647,0.4154929577464789,0.4244604316546763,0.7482727445755615,0.013893299998017028,0.004427299994858913
Perceptron,0.8106575963718821,0.37623762376237624,0.2676056338028169,0.31275720164609055,0.6863342215454893,0.01280909999331925,0.0036724999954458326
LogisticRegression,0.8469387755102041,0.6206896551724138,0.1267605633802817,0.21052631578947367,0.7804625047582795,0.03016110000316985,0.0044683000014629215
